Amendment(Duty to prepare an Animal Sentience Strategy): Ruth Jones(Labour), Jim McMahon(Labour), Kerry McCarthy(Labour), Daniel Zeichner(Labour), Alex Sobel(Labour), Mary Glindon(Labour), Grahame Morris(Labour), Christian Wakeford(Labour), Catherine West(Labour), Rosie Duffield(Labour), Andrew Gwynne(Labour), John McDonnell(Labour), Dame Diana Johnson(Labour), Neil Coyle(Labour), Lloyd Russell-Moyle(Labour), Ian Mearns(Labour), Fleur Anderson(Labour), Luke Pollard(Labour), Caroline Lucas(Green Party)

Amendment(Report on the use of sentient animals in Ministry of Defence exercises): Deidre Brock(SNP), Martyn Day(SNP), Patricia Gibson(SNP), Dave Doogan(SNP), Owen Thompson(SNP), Ben Lake(Plaid Cymru), Liz Saville Roberts(Plaid Cymru), Jonathan Edwards(Plaid Cymru), Chris Law(SNP), Hywel Williams(Plaid Cymru), Alison Thewliss(SNP)

Amendment(Report on the use of sentient animals in animal experimentation in government policy): Deidre Brock(SNP), Martyn Day(SNP), Patricia Gibson(SNP), Dave Doogan(SNP), Owen Thompson(SNP), Ben Lake(Plaid Cymru), Liz Saville Roberts(Plaid Cymru), Jonathan Edwards(Plaid Cymru), Chris Law(SNP), Hywel Williams(Plaid Cymru), Alison Thewliss(SNP)

Amendment(Animal Welfare Strategy): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Report on the impact of government policy on river pollution on sentient animals): Tim Farron(Liberal Democrats), Ed Davey(Liberal Democrats), Daisy Cooper(Liberal Democrats), Wendy Chamberlain(Liberal Democrats), Mr Alistair Carmichael(Liberal Democrats), Christine Jardine(Liberal Democrats), Layla Moran(Liberal Democrats), Jamie Stone(Liberal Democrats), Wera Hobhouse(Liberal Democrats), Sarah Olney(Liberal Democrats), Munira Wilson(Liberal Democrats), Sarah Green(Liberal Democrats), Helen Morgan(Liberal Democrats)

Amendment(Report on the impact of trade agreements on sentient animals): Tim Farron(Liberal Democrats)

Amendment(Animal Sentience Committee to be established by regulations): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Committee's role and limitations): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Animal Sentience Committee to be established by regulations with set composition and terms of reference): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Committee members' affiliations): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Committee members' expertise and exclusions): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Committee's annual report and compliance with Animal Welfare Strategy): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Committee's focus on policy consideration): Greg Smith(Conservative), Mr Steve Baker(Conservative), Sir Bill Wiggin(Conservative), David Simmonds(Conservative), Kevin Hollinrake(Conservative)

Amendment(Committee's respect for legislative provisions and customs): Sir Geoffrey Clifton-Brown(Conservative), Duncan Baker(Conservative), Mr Steve Baker(Conservative), Sir Graham Brady(Conservative), Mr Jonathan Djanogly(Conservative), Richard Drax(Conservative), Mark Garnier(Conservative), Sir Robert Goodwill(Conservative), Richard Graham(Conservative), James Gray(Conservative), Adam Holloway(Conservative), Sir Robert Neill(Conservative), Neil Parish(Conservative), Jim Shannon(DUP), David Simmonds(Conservative), Sir Robert Syms(Conservative), Greg Smith(Conservative), Sir Bill Wiggin(Conservative), Mr
